Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-31,1.0,"14498866241,HU14498866","ÉszakBudai Tervező, Szerelő És Szolgáltató Zártkörűen Működő Részvénytársaság",45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,"Északbudai Tervező, Szerelő És Zrt.",Zrt.,-19 days
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-30,2.0,"11013714202,HU11013714","Treszner Villamosipari, Szolgáltató Kft",45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Treszner Villamosipari Kft.,Kft.,-20 days
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-31,1.0,"11963877213,11963877",Juko Építőipari És Szolgáltató Kft.,45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Juko Építőipari És Kft.,Kft.,-19 days
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-31,1.0,"10823541242,HU10823541",Kábel Team Villamosipari Szolgáltató És Kereskedelmi Korlátolt Felelősségű Társaság,45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Kábel Team Villamosipari Kft.,Kft.,-19 days
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-03-31,1.0,"10797675243,HU10797675",Fabricom ElectricalPvv Villanyszerelő Ipari Korlátolt Felelősségű Társaság,45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Fabricom Electricalpvv Villanyszerelő Ipari Kft.,Kft.,-19 days
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-04-07,2.0,"25433971213,HU25433971,Cg. 13-09-201832",ForestVill Villamosipari És Energetikai Létesítményeket Tervező És Kivitelező Korlátolt Felelősségű Társaság,45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Forestvill Villamosipari És Energetikai Létesítményeket Tervező És Kivitelező Kft.,Kft.,-12 days
EKR001563762019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,"Kiemelt tervezési, kivitelezési munkák - III.",Építési beruházás,2500000000.0,HUF,HU33,2020-04-07,2.0,"13564508208,HU 13564508",VillKorr Hungária Villamosipari Korlátolt Felelősségű Társaság,45231400-9,Nem,Igen,Igen,2020-04-19,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Villkorr Hungária Villamosipari Kft.,Kft.,-12 days
EKR001573152019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Nyílt eljárás,Alépítményi munkák - KAP,Építési beruházás,857693041.0,HUF,HU332|HU333,2020-08-13,1.0,11976202204,Ódium Trió Kft,45232000-2,Nem,Igen,Igen,2020-08-31,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Ódium Trió Kft.,Kft.,-18 days
EKR001573152019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Nyílt eljárás,Alépítményi munkák - KAP,Építési beruházás,857693041.0,HUF,HU332|HU333,2020-08-13,1.0,14690460206,Cemy Kft,45232000-2,Nem,Igen,Igen,2020-08-31,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Cemy Kft.,Kft.,-18 days
EKR001573152019,Nkm Áramhálózati Kft.,13792679206,,KO - Villamos energia,Uniós eljárásrend,Nyílt eljárás,Alépítményi munkák - KAP,Építési beruházás,857693041.0,HUF,HU331|HU1,2020-08-13,3.0,"43706321223,HU43706321",Szabó Zoltán Egyéni Vállalkozó,45232000-2,Nem,Igen,Nem,2020-08-31,Igen,Nem,Igen,Nkm Áramhálózati Kft.,Kft.,Szabó Zoltán EV,EV,-18 days
EKR001576142019,Székesfehérvár Megyei Jogú Város Önkormányzata,15726999207,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Sóstó Rehab. Közúti elérhetőség fejleszétse III.,Építési beruházás,185045000.0,HUF,HU211,2020-06-08,4.0,"12961555443,01-09-728620",Strabag Építő Korlátolt Felelősségű Társaság,45233228-3,Nem,Igen,Nem,2020-06-16,Igen,Nem,Igen,Székesfehérvár Megyei Jogú Város Önkormányzata,,Strabag Általános Építő Kft.,Kft.,-8 days
EKR001579062019,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Vágánykapcsolat cseréje és deltavágány létesítése,Építési beruházás,1408231046.0,HUF,HU11,2020-04-20,5.0,"10678547208,HU10678547","Vasútépítők Pályatervező, Kivitelező És Iparvágányfenntartó Korlátolt Felelősségű Társaság",45234126-5,Nem,Igen,Nem,2020-05-07,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,"Vasútépítők Pályatervező, Kivitelező És Iparvágányfenntartó Kft.",Kft.,-17 days
EKR001580792019,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Gottsegen Gy. Orsz. Kardiológiai Int. kiv. munkái,Építési beruházás,1127778800.0,HUF,HU110,2020-10-08,2.0,"13707824241,HU13707824",Mester Építő Kft.,45000000-7,Nem,Igen,Igen,2020-10-15,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Mester Építő Kft.,Kft.,-7 days
EKR001586392019,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 113. § Tárgyalásos eljárás,"Budavári Sikló pályalemez felújítás,leesés védelem",Építési beruházás,153432015.0,HUF,HU11,2020-09-15,2.0,"13961149244,HU13961149",Colas Alterra Építőipari Zártkörűen Működő Részvénytársaság,45234240-0,Nem,Igen,Nem,2020-09-21,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,Colas Alterra Építőipari Zrt.,Zrt.,-6 days
EKR001599462019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Keretszerződés - bontási munkák,Építési beruházás,1800000000.0,HUF,HU,2020-10-07,3.0,"24944234213,HU24944234",Grander Home Korlátolt Felelősségű Társaság,45110000-1,Nem,Igen,Igen,2020-10-14,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Grander Home Kft.,Kft.,-7 days
EKR001599462019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Keretszerződés - bontási munkák,Építési beruházás,1800000000.0,HUF,HU,2020-10-07,3.0,"10685079213,HU10685079",Richlik Trans Kft.,45110000-1,Nem,Igen,Igen,2020-10-14,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Richlik Trans Kft.,Kft.,-7 days
EKR001611502019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Budapest-Balaton kerékpáros útvonal – Etyek-Tordas,Építési beruházás,950788648.0,HUF,HU213,2020-10-12,9.0,13775502413,Magyar Alagútépítő És Bányászati Korlátolt Felelősségű Társaság,45233162-2,Nem,Igen,Igen,2020-11-01,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Magyar Alagútépítő És Bányászati Kft.,Kft.,-20 days
EKR001612912019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,"Dunakiliti jobb parti ártéri híd, kp. út építése",Építési beruházás,621430948.0,HUF,HU221,2020-07-06,4.0,"11705053444,01-09-930940",Strabag Általános Építő Korlátolt Felelősségű Társaság,45221113-7,Igen,Igen,Nem,2020-07-21,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Strabag Általános Építő Kft.,Kft.,-15 days
EKR000462912018,Debrecen Megyei Jogú Város Önkormányzata,15735588209,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,"Debrecen, Laktanya utca felújítása",Építési beruházás,108000000.0,HUF,HU321,2018-10-11,2.0,"11705053444,01-09-930940",Strabag Általános Építő Korlátolt Felelősségű Társaság,45233228-3,Nem,Igen,Nem,2018-10-28,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Strabag Általános Építő Kft.,Kft.,-17 days
EKR001624052019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Bp-Balaton kerékpárút – Szfhvár bevez. terv/kivit.,Építési beruházás,365472000.0,HUF,HU211,2020-11-25,8.0,"12961555443,01-09-728620",Strabag Építő Korlátolt Felelősségű Társaság,45233162-2,Nem,Igen,Nem,2020-12-08,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Strabag Általános Építő Kft.,Kft.,-13 days
EKR001625772019,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,M3 metró Dózsa Gy. út megálló akadálymentesítése,Építési beruházás,1970057739.0,HUF,HU110,2020-12-04,3.0,"10776456443,01-10-041955",Strabag Építőipari Zártkörűen Működő Részvénytársaság,45234125-8,Igen,Igen,Nem,2020-12-20,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,Strabag Építőipari Zrt.,Zrt.,-16 days
EKR001634822019,Debrecen Megyei Jogú Város Önkormányzata,15735588209,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,A Debreceni Csokonai Nemzeti Színház felújítása,Építési beruházás,9621995063.0,HUF,HU321,2020-06-29,2.0,"12656770209,HU12656770",Hunép Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Nem,2020-07-09,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Hunép Építőipari Zrt.,Zrt.,-10 days
EKR001636192019,Debrecen Megyei Jogú Város Önkormányzata,15735588209,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Latinovits Színház belső kivitelezési munkálatai,Építési beruházás,5890371984.0,HUF,HU321,2020-08-06,3.0,"12461866209,HU12461866",Társ95 Acélszerkezet És Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,45000000-7,Igen,Igen,Igen,2020-08-17,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Társ95 Acélszerkezet És Gépgyártó Építőipari Kft.,Kft.,-11 days
EKR001636192019,Debrecen Megyei Jogú Város Önkormányzata,15735588209,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Latinovits Színház belső kivitelezési munkálatai,Építési beruházás,5890371984.0,HUF,HU321,2020-08-06,3.0,"25098367243,HU25098367",Laterex Építő Zártkörűen Működő Részvénytársaság,45000000-7,Igen,Igen,Igen,2020-08-17,Igen,Nem,Igen,Debrecen Megyei Jogú Város Önkormányzata,,Laterex Építő Zrt.,Zrt.,-11 days
EKR001636882019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,M6 autópálya Bóly-Ivándárda között kivitelezés,Építési beruházás,90456480133.0,HUF,HU231,2020-12-10,4.0,"12961555443,01-09-728620",Strabag Építő Korlátolt Felelősségű Társaság,45233100-0,Igen,Igen,Nem,2020-12-28,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Strabag Általános Építő Kft.,Kft.,-18 days
EKR001636882019,Nif Nemzeti Infrastruktúra Fejlesztő Zártkörűen Működő Részvénytársaság,11906522241,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,M6 autópálya Bóly-Ivándárda között kivitelezés,Építési beruházás,90456480133.0,HUF,HU231,2020-12-10,4.0,11426628403,Duna Aszfalt Út És Mélyépítő Korlátolt Felelősségű Társaság,45233100-0,Igen,Igen,Nem,2020-12-28,Igen,Nem,Igen,Nif Nemzeti Infrastruktúra Fejlesztő Zrt.,Zrt.,Duna Aszfalt Út És Mélyépítő Kft.,Kft.,-18 days
EKR000003852020,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Meghívásos eljárás,Budapesti Atlétikai Stadion kivitelezési munkák,Építési beruházás,150047812246.0,HUF,HU110,2020-11-02,2.0,"10738885220,HU10738885",Záév Építőipari Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Nem,2020-11-12,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Záév Építőipari Zrt.,Zrt.,-10 days
EKR000003852020,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",12464780251,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Meghívásos eljárás,Budapesti Atlétikai Stadion kivitelezési munkák,Építési beruházás,150047812246.0,HUF,HU110,2020-11-02,2.0,10759358244,Magyar Építő Zártkörűen Működő Részvénytársaság,45000000-7,Nem,Igen,Nem,2020-11-12,Igen,Nem,Igen,"Bmsk Beruházási, Műszaki Fejlesztési, Sportüzemeltetési És Közbeszerzési Zrt.",Zrt.,Magyar Építő Zrt.,Zrt.,-10 days
EKR000006912020,Budapest Főváros Xvi. Kerületi Önkormányzat,15735791242,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Budapest XVI. kerületi útépítések XLVIII.,Építési beruházás,77937493.0,HUF,HU110,2020-03-09,5.0,"10572795241,HU10572795",Swietelsky Építő Korlátolt Felelősségű Társaság,45233120-6,Nem,Igen,Nem,2020-03-16,Igen,Nem,Igen,Budapest Főváros Xvi. Kerületi Önkormányzat,,Swietelsky Építő Kft.,Kft.,-7 days
EKR000006912020,Budapest Főváros Xvi. Kerületi Önkormányzat,15735791242,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Budapest XVI. kerületi útépítések XLVIII.,Építési beruházás,77937493.0,HUF,HU110,2020-03-09,5.0,25362035242,Közműút J.K.K. Építő És Szolgáltató Korlátolt Felelősségű Társaság,45233120-6,Nem,Igen,Igen,2020-03-16,Igen,Nem,Igen,Budapest Főváros Xvi. Kerületi Önkormányzat,,Közműút J.K.K. Építő És Kft.,Kft.,-7 days
EKR000031992020,Székesfehérvár Megyei Jogú Város Önkormányzata,15726999207,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Velencei Gyermek- és Ifjúsági Tábor kivitelezése,Építési beruházás,419012960.0,HUF,HU211,2020-06-30,5.0,25287189207,Isoconstruct Korlátolt Felelősségű Társaság,45212100-7,Nem,Igen,Igen,2020-07-05,Igen,Nem,Igen,Székesfehérvár Megyei Jogú Város Önkormányzata,,Isoconstruct Kft.,Kft.,-5 days
EKR000035532020,Országos Kórházi Főigazgatóság,15845883243,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egészségügy,Uniós eljárásrend,Nyílt eljárás,ÁEEK - Nyugat kivitelezési eljárások- 6 rész,Építési beruházás,1232779471.0,HUF,HU223,2020-10-20,7.0,"26335553213,HU26335553",Bahu Bau Építőipari És Kereskedelmi Korlátolt Felelősségű Társaság,45000000-7,Igen,Igen,Igen,2020-11-05,Igen,Nem,Igen,Országos Kórházi Főigazgatóság,,Bahu Bau Építőipari És Kft.,Kft.,-16 days
EKR000035532020,Országos Kórházi Főigazgatóság,15845883243,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egészségügy,Uniós eljárásrend,Nyílt eljárás,ÁEEK - Nyugat kivitelezési eljárások- 6 rész,Építési beruházás,1232779471.0,HUF,HU222,2020-10-26,5.0,11300414218,Vas Megyei Beruházási Zártkörűen Működő Részvénytársaság,45000000-7,Igen,Igen,Igen,2020-11-05,Igen,Nem,Igen,Országos Kórházi Főigazgatóság,,Vas Megyei Beruházási Zrt.,Zrt.,-10 days
