Eljárás EKR azonosító,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Teljesítés helye NUTS-kód(ok),Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő neve,Fő CPV-kód(ok),A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Nyertes ajánlattevő kkv,Hirdetmény közzétételének dátuma,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,Ajánlatkérő szervezet neve - tisztított,Ajánlatkérő Cégtípus,Nyertes ajánlattevő neve - tisztított,Nyertes Cégtípus,Hirdetmény és szerződés megkötés között eltelt idő
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU331,2020-03-09,5.0,"10324602244,HU10324602",DunaDráva Cement Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Dunadráva Cement Kft.,Kft.,-178 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU333,2020-03-09,2.0,"10324602244,HU10324602",DunaDráva Cement Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Dunadráva Cement Kft.,Kft.,-178 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU311,2020-03-06,3.0,"24083621244,HU24083621",Crh Magyarország Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Crh Magyarország Kft.,Kft.,-181 days
EKR001562592019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,RDF/RDF UA haszonanyag szállítása és hasznosítása,Szolgáltatás megrendelés,517782320.0,HUF,HU212,2020-03-09,4.0,"10324602244,HU10324602",DunaDráva Cement Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-03,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Dunadráva Cement Kft.,Kft.,-178 days
EKR001578722019,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,N - Közszolgáltató,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Autóbusz kompresszorok felújítása.,Szolgáltatás megrendelés,48932000.0,HUF,HU11,2020-04-17,2.0,"10561812213,HU10561812","Domotors Járműalkatrészeket Gyártó, Felújitó És Kereskedelmi Korlátolt Felelősségű Társaság",50531300-9,Nem,Igen,Igen,2020-04-29,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,"Domotors Járműalkatrészeket Gyártó, Felújitó És Kft.",Kft.,-12 days
EKR001580242019,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Hűtő-klíma és hőszivattyú karbantartás és javítás,Szolgáltatás megrendelés,180885900.0,HUF,HU110,2020-03-30,2.0,"10497320214,HU10497320",HűtőKlíma Technikai Kft.,50711000-2,Nem,Igen,Igen,2020-04-08,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,Hűtőklíma Technikai Kft.,Kft.,-9 days
EKR000458432018,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Renault gyártmányú nehézteher gépjárm. karb. 2018,Szolgáltatás megrendelés,750000000.0,HUF,HU,2019-06-20,1.0,"11841674244,HU11841674",Volvo Hungária Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,50112000-3,Nem,Igen,Nem,2019-07-29,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Volvo Hungária Kft.,Kft.,-39 days
EKR000458432018,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Renault gyártmányú nehézteher gépjárm. karb. 2018,Szolgáltatás megrendelés,750000000.0,HUF,HU,2019-07-18,1.0,"11841674244,HU11841674",Volvo Hungária Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,50112000-3,Nem,Igen,Nem,2019-07-29,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Volvo Hungária Kft.,Kft.,-11 days
EKR000458432018,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,14605749244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Renault gyártmányú nehézteher gépjárm. karb. 2018,Szolgáltatás megrendelés,750000000.0,HUF,HU,2019-06-20,2.0,"11841674244,HU11841674",Volvo Hungária Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,50112000-3,Nem,Igen,Nem,2019-07-29,Igen,Nem,Igen,Magyar Közút Nonprofit Zrt.,Zrt.,Volvo Hungária Kft.,Kft.,-39 days
EKR000078942018,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,N - Közszolgáltató,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Fogaskerekű járművek erősáramú alk. javítása,Szolgáltatás megrendelés,7758300.0,HUF,HU110,2018-12-15,2.0,"10318133213,HU10318133",Szikametró89 Kft.,50116100-2,Nem,Igen,Igen,2019-01-17,Igen,Nem,Igen,Budapesti Közlekedési Zrt.,Zrt.,Szikametró89 Kft.,Kft.,-33 days
EKR001603172019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF Szállítás - Keretszerződés 7 részben,Szolgáltatás megrendelés,743580000.0,HUF,HU1,2020-08-28,4.0,"10883356213,HU10883356,13-09-078378",F Trans Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Igen,2020-09-17,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,F Trans Kft.,Kft.,-20 days
EKR001603172019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF Szállítás - Keretszerződés 7 részben,Szolgáltatás megrendelés,743580000.0,HUF,HU33,2020-08-28,4.0,"10883356213,HU10883356,13-09-078378",F Trans Kereskedelmi És Szolgáltató Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Igen,2020-09-17,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,F Trans Kft.,Kft.,-20 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,2478600000.0,HUF,HU,2020-09-11,6.0,13714789210,Geosol Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-27,Igen,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Geosol Kft.,Kft.,-16 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,2478600000.0,HUF,HU,2020-09-11,6.0,"24083621244,HU24083621",Crh Magyarország Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-27,Igen,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Crh Magyarország Kft.,Kft.,-16 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,2478600000.0,HUF,HU,2020-09-11,6.0,"10324602244,HU10324602",DunaDráva Cement Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-27,Igen,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Dunadráva Cement Kft.,Kft.,-16 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,2478600000.0,HUF,HU,2020-09-11,6.0,"12799776218,HU12799776",Sárvári Huke Hulladék Kezelési Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Igen,2020-09-27,Igen,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Sárvári Huke Hulladék Kezelési Kft.,Kft.,-16 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,2478600000.0,HUF,HU,2020-09-11,6.0,"13754448202,HU13754448",Lafarge Cement Magyarország Gyártó És Kereskedelmi Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2020-09-27,Igen,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Lafarge Cement Magyarország Gyártó És Kft.,Kft.,-16 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,2478600000.0,HUF,HU,2020-09-11,6.0,13611545207,Hamburger Hungária Kft.,90500000-2,Nem,Igen,Nem,2020-09-27,Igen,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Hamburger Hungária Kft.,Kft.,-16 days
EKR001603172019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,25456790244,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF Szállítás - Keretszerződés 7 részben,Szolgáltatás megrendelés,743580000.0,HUF,HU32,2020-08-28,4.0,"23398283213,HU23398283",Sylvestris Szolgáltató Kft,90500000-2,Nem,Igen,Igen,2020-09-17,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Sylvestris Kft.,Kft.,-20 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,212500000.0,HUF,HU,2020-12-02,1.0,12799776218,Sárvári Huke Hulladék Kezelési Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Igen,2021-02-23,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Sárvári Huke Hulladék Kezelési Kft.,Kft.,-83 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,212500000.0,HUF,HU,2020-12-14,1.0,13754448202,Lafarge Cement Magyarország Gyártó És Kereskedelmi Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-02-23,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Lafarge Cement Magyarország Gyártó És Kft.,Kft.,-71 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,212500000.0,HUF,HU,2020-12-14,1.0,24083621244,Crh Magyarország Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-02-23,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Crh Magyarország Kft.,Kft.,-71 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,212500000.0,HUF,HU,2020-11-16,2.0,13754448202,Lafarge Cement Magyarország Gyártó És Kereskedelmi Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-02-23,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Lafarge Cement Magyarország Gyártó És Kft.,Kft.,-99 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,243665925.0,HUF,HU,2021-02-16,3.0,12799776-2-18,Sárvári Huke Hulladék Kezelési Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Igen,2021-05-04,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Sárvári Huke Hulladék Kezelési Kft.,Kft.,-77 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,243665925.0,HUF,HU,2021-03-26,1.0,24083621-2-44,Crh Magyarország Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-05-04,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Crh Magyarország Kft.,Kft.,-39 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,243665925.0,HUF,HU,2021-01-25,1.0,13714789-2-10,Geosol Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-05-04,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Geosol Kft.,Kft.,-99 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,243665925.0,HUF,HU,2021-02-16,2.0,13754448-2-02,Lafarge Cement Magyarország Gyártó És Kereskedelmi Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-05-04,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Lafarge Cement Magyarország Gyártó És Kft.,Kft.,-77 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,513064900.0,HUF,HU,2021-03-25,1.0,13714789-2-10,Geosol Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-07-15,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Geosol Kft.,Kft.,-112 days
EKR001603312019,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zártkörűen Működő Részvénytársaság,EKRSZ_22738547,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SRF/RDF energetikai hasznosítás-Keretmegállapodás,Szolgáltatás megrendelés,513064900.0,HUF,HU,2021-03-25,1.0,10324602-2-44,DunaDráva Cement Korlátolt Felelősségű Társaság,90500000-2,Nem,Igen,Nem,2021-07-15,Nem,Nem,Igen,Nhkv Nemzeti Hulladékgazdálkodási Koordináló És Vagyonkezelő Zrt.,Zrt.,Dunadráva Cement Kft.,Kft.,-112 days
